CustomerID,Gender,Tenure_Months,Contract,Monthly_Charges,Total_Charges,Churn_value
0002-ORFBO,Female,9,One year,65.5999984741211,593.2999877929688,0
0003-MKNFE,Male,9,Month-to-month,59.900001525878906,542.4000244140625,0
0004-TLHLJ,Male,4,Month-to-month,73.9000015258789,280.8500061035156,1
0011-IGKFF,Male,13,Month-to-month,98.0,1237.8499755859375,1
0013-EXCHZ,Female,3,Month-to-month,83.9000015258789,267.3999938964844,1
0013-MHZWF,Female,9,Month-to-month,69.4000015258789,571.4500122070312,0
0013-SMEOE,Female,71,Two year,109.69999694824219,7904.25,0
0014-BMAQU,Male,63,Two year,84.6500015258789,5377.7998046875,0
0015-UOCOJ,Female,7,Month-to-month,48.20000076293945,340.3500061035156,0
0016-QLJIS,Female,65,Two year,90.44999694824219,5957.89990234375,0
0017-DINOC,Male,54,Two year,45.20000076293945,2460.550048828125,0
0017-IUDMW,Female,72,Two year,116.80000305175781,8456.75,0
0018-NYROU,Female,5,Month-to-month,68.94999694824219,351.5,0
0019-EFAEP,Female,72,Two year,101.30000305175781,7261.25,0
0019-GFNTW,Female,56,Two year,45.04999923706055,2560.10009765625,0
0020-INWCK,Female,71,Two year,95.75,6849.39990234375,0
0020-JDNXP,Female,34,One year,61.25,1993.199951171875,0
0021-IKXGC,Female,1,Month-to-month,72.0999984741211,72.0999984741211,0
0022-TCJCI,Male,45,One year,62.70000076293945,2791.5,1
0023-HGHWL,Male,1,Month-to-month,25.100000381469727,25.100000381469727,1
0023-UYUPN,Female,50,One year,25.200000762939453,1306.300048828125,0
0023-XUOPT,Female,13,Month-to-month,94.0999984741211,1215.5999755859375,1
0027-KWYKW,Female,23,Month-to-month,83.75,1849.949951171875,0
0030-FNXPP,Female,3,Month-to-month,19.850000381469727,57.20000076293945,0
0031-PVLZI,Female,4,Month-to-month,20.350000381469727,76.3499984741211,1
0032-PGELS,Female,1,Month-to-month,30.5,30.5,1
0036-IHMOT,Female,55,One year,103.69999694824219,5656.75,0
0040-HALCW,Male,54,Two year,20.399999618530273,1090.5999755859375,0
0042-JVWOJ,Male,26,One year,19.600000381469727,471.8500061035156,0
0042-RLHYP,Female,69,Two year,19.700000762939453,1396.9000244140625,0
0048-LUMLS,Male,37,One year,91.19999694824219,3247.550048828125,0
0048-PIHNL,Female,49,One year,20.450000762939453,900.9000244140625,0
0052-DCKON,Male,66,One year,115.80000305175781,7942.14990234375,0
0052-YNYOT,Female,67,One year,20.549999237060547,1343.4000244140625,0
0056-EPFBG,Male,20,Two year,39.400001525878906,825.4000244140625,0
0057-QBUQH,Female,43,Two year,25.100000381469727,1070.1500244140625,0
0058-EVZWM,Female,55,Month-to-month,89.80000305175781,4959.60009765625,0
0060-FUALY,Female,59,Month-to-month,94.75,5597.64990234375,0
0064-SUDOG,Female,12,Two year,20.299999237060547,224.5,0
0064-YIJGF,Male,27,Month-to-month,75.75,1929.0,0
0067-DKWBL,Male,2,Month-to-month,49.25,91.0999984741211,1
0068-FIGTF,Female,27,One year,78.19999694824219,2078.949951171875,0
0071-NDAFP,Male,25,Two year,25.5,630.5999755859375,0
0074-HDKDG,Male,25,One year,61.599998474121094,1611.0,0
0076-LVEPS,Male,29,Month-to-month,45.0,1242.449951171875,0
0078-XZMHT,Male,72,Two year,85.1500015258789,6316.2001953125,0
0080-EMYVY,Female,14,One year,51.45000076293945,727.8499755859375,0
0080-OROZO,Female,35,One year,99.25,3532.0,0
0082-LDZUE,Male,1,Month-to-month,44.29999923706055,44.29999923706055,0
0082-OQIQY,Male,29,Month-to-month,94.19999694824219,2607.60009765625,0
0083-PIVIK,Male,64,One year,81.25,5567.5498046875,0
0089-IIQKO,Female,39,Month-to-month,99.94999694824219,3767.39990234375,0
0093-EXYQL,Female,40,Month-to-month,91.55000305175781,3673.60009765625,0
0093-XWZFY,Male,40,Month-to-month,104.5,4036.85009765625,1
0094-OIFMO,Female,11,Month-to-month,95.0,1120.300048828125,1
0096-BXERS,Female,6,Month-to-month,50.349998474121094,314.54998779296875,0
0096-FCPUF,Male,30,Month-to-month,64.5,1888.449951171875,0
0098-BOWSO,Male,27,Month-to-month,19.399999618530273,529.7999877929688,0
0100-DUVFC,Male,70,One year,104.80000305175781,7308.9501953125,0
0103-CSITQ,Female,57,One year,109.4000015258789,6252.7001953125,0
0104-PPXDV,Male,58,One year,50.29999923706055,2878.550048828125,0
0106-GHRQR,Male,16,Month-to-month,71.4000015258789,1212.0999755859375,0
0106-UGRDO,Female,69,Two year,116.0,8182.85009765625,0
0107-WESLM,Male,1,Month-to-month,19.850000381469727,19.850000381469727,1
0107-YHINA,Male,1,Month-to-month,99.75,99.75,1
0111-KLBQG,Male,32,Month-to-month,93.94999694824219,2861.449951171875,0
0112-QAWRZ,Male,16,Month-to-month,90.80000305175781,1442.199951171875,0
0112-QWPNC,Male,49,One year,84.3499984741211,4059.35009765625,1
0114-IGABW,Female,71,Two year,58.25,4145.89990234375,0
0114-PEGZZ,Female,33,Month-to-month,107.55000305175781,3645.5,0
0114-RSRRW,Female,10,Month-to-month,19.950000762939453,187.75,0
0115-TFERT,Male,21,Month-to-month,111.19999694824219,2317.10009765625,1
0117-LFRMW,Male,37,Month-to-month,40.20000076293945,1448.800048828125,1
0118-JPNOY,Female,26,Month-to-month,85.80000305175781,2193.64990234375,0
0121-SNYRK,Male,50,One year,35.400001525878906,1748.9000244140625,0
0122-OAHPZ,Female,7,Month-to-month,73.8499984741211,511.25,1
0123-CRBRT,Female,61,Two year,88.0999984741211,5526.75,0
0125-LZQXK,Male,15,Month-to-month,101.3499984741211,1553.949951171875,1
0128-MKWSG,Female,26,Month-to-month,45.79999923706055,1147.0,0
0129-KPTWJ,Male,72,Month-to-month,94.6500015258789,6747.35009765625,0
0129-QMPDR,Male,44,One year,20.5,865.0499877929688,0
0130-SXOUN,Male,66,Month-to-month,89.4000015258789,5976.89990234375,0
0133-BMFZO,Female,2,Month-to-month,86.25,181.64999389648438,1
0134-XWXCE,Female,44,One year,74.8499984741211,3268.050048828125,0
0135-NMXAP,Female,12,Month-to-month,89.75,1052.4000244140625,1
0136-IFMYD,Male,69,Two year,109.94999694824219,7634.25,0
