CustomerID,Count,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason,Column1
0002-ORFBO,1,United States,California,Frazier Park,93225,"34.827662, -118.999073",34.82766342163086,-118.99906921386719,Female,False,True,False,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.5999984741211,593.2999877929688,No,0,65,2205,,
0003-MKNFE,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162513732910156,-118.20387268066406,Male,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.900001525878906,542.4000244140625,No,0,66,5414,,
0004-TLHLJ,1,United States,California,Costa Mesa,92627,"33.645672, -117.922613",33.64567184448242,-117.92261505126953,Male,False,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9000015258789,280.8500061035156,Yes,1,71,4479,Price too high,1.0
0011-IGKFF,1,United States,California,Martinez,94553,"38.014457, -122.115432",38.01445770263672,-122.11543273925781,Male,True,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.8499755859375,Yes,1,99,3714,Product dissatisfaction,1.0
0013-EXCHZ,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.22784423828125,-119.07990264892578,Female,True,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9000015258789,267.3999938964844,Yes,1,68,3464,Network reliability,1.0
0013-MHZWF,1,United States,California,Midpines,95345,"37.581496, -119.972762",37.58149719238281,-119.97276306152344,Female,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4000015258789,571.4500122070312,No,0,55,5108,,
0013-SMEOE,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757476806640625,-120.55050659179688,Female,True,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.69999694824219,7904.25,No,0,26,5011,,
0014-BMAQU,1,United States,California,Napa,94558,"38.489789, -122.27011",38.48978805541992,-122.27011108398438,Male,False,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.6500015258789,5377.7998046875,No,0,49,4604,,
0015-UOCOJ,1,United States,California,Simi Valley,93063,"34.296813, -118.685703",34.29681396484375,-118.68569946289062,Female,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.20000076293945,340.3500061035156,No,0,34,5525,,
0016-QLJIS,1,United States,California,Sheridan,95681,"38.984756, -121.345074",38.98475646972656,-121.34507751464844,Female,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.44999694824219,5957.89990234375,No,0,25,5509,,
0017-DINOC,1,United States,California,Rancho Santa Fe,92091,"32.99356, -117.207121",32.993560791015625,-117.20712280273438,Male,False,False,False,54,False,,DSL,True,False,False,True,True,False,Two year,False,Credit card (automatic),45.20000076293945,2460.550048828125,No,0,54,5435,,
0017-IUDMW,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.3785400390625,-122.02045440673828,Female,False,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),116.80000305175781,8456.75,No,0,52,6252,,
0018-NYROU,1,United States,California,Antelope,95843,"38.715498, -121.363411",38.71549987792969,-121.36341094970703,Female,False,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,68.94999694824219,351.5,No,0,57,5536,,1.0
0019-EFAEP,1,United States,California,La Mesa,91942,"32.782501, -117.01611",32.782501220703125,-117.01611328125,Female,False,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Two year,True,Bank transfer (automatic),101.30000305175781,7261.25,No,0,53,5513,,
0019-GFNTW,1,United States,California,Los Olivos,93441,"34.70434, -120.02609",34.704341888427734,-120.02609252929688,Female,False,False,False,56,False,,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),45.04999923706055,2560.10009765625,No,0,37,5795,,
0020-INWCK,1,United States,California,Woodlake,93286,"36.464635, -119.094348",36.46463394165039,-119.09434509277344,Female,False,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Two year,True,Credit card (automatic),95.75,6849.39990234375,No,0,26,4865,,
0020-JDNXP,1,United States,California,Point Reyes Station,94956,"38.060264, -122.830646",38.060264587402344,-122.83064270019531,Female,False,True,True,34,False,,DSL,True,False,True,True,True,True,One year,False,Mailed check,61.25,1993.199951171875,No,0,37,3607,,
0021-IKXGC,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.11902618408203,-117.1660385131836,Female,True,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,72.0999984741211,72.0999984741211,No,0,50,4432,,1.0
0022-TCJCI,1,United States,California,Daly City,94015,"37.680844, -122.48131",37.680843353271484,-122.48130798339844,Male,True,False,False,45,True,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),62.70000076293945,2791.5,Yes,1,92,2654,Limited range of services,
0023-HGHWL,1,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.16154479980469,-121.64936828613281,Male,True,False,False,1,False,,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,25.100000381469727,25.100000381469727,Yes,1,85,5437,Competitor made better offer,
0023-UYUPN,1,United States,California,Ahwahnee,93601,"37.375816, -119.739935",37.375816345214844,-119.73993682861328,Female,True,True,False,50,True,True,No,,,,,,,One year,False,Electronic check,25.200000762939453,1306.300048828125,No,0,61,4015,,
0023-XUOPT,1,United States,California,Carnelian Bay,96140,"39.227434, -120.091806",39.22743225097656,-120.09180450439453,Female,False,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Month-to-month,False,Electronic check,94.0999984741211,1215.5999755859375,Yes,1,75,2973,Don't know,1.0
0027-KWYKW,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869625091552734,-119.49877166748047,Female,False,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,83.75,1849.949951171875,No,0,78,3585,,1.0
0030-FNXPP,1,United States,California,Keeler,93530,"36.560498, -117.962461",36.56049728393555,-117.96246337890625,Female,False,False,False,3,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.850000381469727,57.20000076293945,No,0,59,5634,,
0031-PVLZI,1,United States,California,Korbel,95550,"40.7666, -123.80458",40.7666015625,-123.80458068847656,Female,False,True,False,4,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.350000381469727,76.3499984741211,Yes,1,81,4133,Competitor had better devices,
0032-PGELS,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852600097656,-116.82308959960938,Female,False,True,True,1,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),30.5,30.5,Yes,1,74,5171,Attitude of service provider,
0036-IHMOT,1,United States,California,Parlier,93648,"36.622237, -119.521126",36.62223815917969,-119.52112579345703,Female,False,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),103.69999694824219,5656.75,No,0,65,5892,,
0040-HALCW,1,United States,California,Modesto,95358,"37.612612, -121.108568",37.612613677978516,-121.10856628417969,Male,False,True,True,54,True,False,No,,,,,,,Two year,False,Credit card (automatic),20.399999618530273,1090.5999755859375,No,0,60,6393,,
0042-JVWOJ,1,United States,California,Glen Ellen,95442,"38.368744, -122.522642",38.368743896484375,-122.52264404296875,Male,False,False,False,26,True,False,No,,,,,,,One year,True,Bank transfer (automatic),19.600000381469727,471.8500061035156,No,0,26,3722,,
0042-RLHYP,1,United States,California,Eureka,95503,"40.737431, -124.108897",40.737430572509766,-124.10889434814453,Female,False,True,True,69,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),19.700000762939453,1396.9000244140625,No,0,76,4131,,
0048-LUMLS,1,United States,California,Moss Beach,94038,"37.515556, -122.502311",37.51555633544922,-122.50231170654297,Male,False,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,One year,False,Credit card (automatic),91.19999694824219,3247.550048828125,No,0,55,5263,,
0048-PIHNL,1,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617431640625,-118.22227478027344,Female,False,True,False,49,True,False,No,,,,,,,One year,False,Bank transfer (automatic),20.450000762939453,900.9000244140625,No,0,20,6061,,
0052-DCKON,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.04426956176758,-118.18523406982422,Male,False,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Bank transfer (automatic),115.80000305175781,7942.14990234375,No,0,42,5845,,
0052-YNYOT,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.69065475463867,-115.43122863769531,Female,False,False,False,67,True,False,No,,,,,,,One year,False,Electronic check,20.549999237060547,1343.4000244140625,No,0,72,5462,,
0056-EPFBG,1,United States,California,Redding,96003,"40.677649, -122.29467",40.677650451660156,-122.29467010498047,Male,False,True,True,20,False,,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),39.400001525878906,825.4000244140625,No,0,29,3899,,
0057-QBUQH,1,United States,California,San Martin,95046,"37.084697, -121.606417",37.08469772338867,-121.60641479492188,Female,False,False,True,43,True,True,No,,,,,,,Two year,True,Electronic check,25.100000381469727,1070.1500244140625,No,0,59,4797,,
0058-EVZWM,1,United States,California,Stockton,95209,"38.044523, -121.348048",38.04452133178711,-121.3480453491211,Female,False,True,False,55,True,True,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.80000305175781,4959.60009765625,No,0,42,5875,,1.0
0060-FUALY,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.96413040161133,-118.27278137207031,Female,False,True,False,59,True,True,Fiber optic,True,True,False,False,True,False,Month-to-month,True,Electronic check,94.75,5597.64990234375,No,0,26,5238,,1.0
0064-SUDOG,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.978031158447266,-118.2171401977539,Female,False,True,True,12,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),20.299999237060547,224.5,No,0,57,5190,,
0064-YIJGF,1,United States,California,Yermo,92398,"35.013299, -116.834092",35.01329803466797,-116.83409118652344,Male,False,True,True,27,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,No,0,46,4994,,1.0
0067-DKWBL,1,United States,California,Tipton,93272,"36.047414, -119.344304",36.04741287231445,-119.34430694580078,Male,True,False,False,2,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,49.25,91.0999984741211,Yes,1,89,3475,Competitor had better devices,
0068-FIGTF,1,United States,California,Fremont,94539,"37.516791, -121.899117",37.51679229736328,-121.89911651611328,Female,False,False,False,27,True,False,DSL,False,True,True,True,True,True,One year,False,Mailed check,78.19999694824219,2078.949951171875,No,0,54,2297,,
0071-NDAFP,1,United States,California,Santa Rosa,95405,"38.439696, -122.668817",38.439697265625,-122.66881561279297,Male,False,True,True,25,True,True,No,,,,,,,Two year,False,Credit card (automatic),25.5,630.5999755859375,No,0,65,5230,,
0074-HDKDG,1,United States,California,San Jose,95126,"37.327069, -121.916819",37.32706832885742,-121.91681671142578,Male,False,True,False,25,True,False,DSL,True,True,True,False,False,False,One year,True,Bank transfer (automatic),61.599998474121094,1611.0,No,0,66,3807,,
