Tenure Months,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Revenue_Per_Month,Customer_Value,Service_Count,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn_Probability,Risk_Segment,Retention_Recommendation,Potential_Revenue_Saved
2,53.85,108.15,1,86,3239,36.05,107.7,3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.945,High Risk,Welcome Retention Package,646.2
2,70.7,151.65,1,67,2701,50.55,141.4,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.84,High Risk,Welcome Retention Package,848.4000000000001
8,99.65,820.5,1,86,5372,91.16666666666669,797.2,5,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.95,High Risk,Offer 15% Discount,1195.8000000000002
28,104.8,3046.05,1,84,5003,105.03620689655172,2934.4,6,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.88,High Risk,Offer 15% Discount,1257.6
49,103.7,5036.3,1,89,5340,100.726,5081.3,6,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0.895,High Risk,Offer 15% Discount,1244.4
10,55.2,528.35,1,78,5925,48.03181818181818,552.0,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.35,Low Risk,VIP Customer Benefits,662.4000000000001
1,39.65,39.65,1,100,5433,19.825,39.65,2,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0.995,High Risk,Welcome Retention Package,475.79999999999995
1,20.15,20.15,1,92,4832,10.075,20.15,1,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0.975,High Risk,Welcome Retention Package,241.79999999999998
47,99.35,4749.15,1,77,5789,98.940625,4669.45,5,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.655,Medium Risk,5% Discount Offer,1192.1999999999998
1,30.2,30.2,1,97,2915,15.1,30.2,1,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.965,High Risk,Welcome Retention Package,362.4
